Subject,Course Name,Course Number,Total Class GPA
Computer Science,Introduction to Computer Architecture,552,3.39
Computer Science,Machine Organization and Programming,354,3.09
Computer Science,Introduction to Cryptography,435,3.05
Computer Science,Computer Vision,766,3.93
Computer Science,Computer-Aided Design for VLSI,756,3.85
Computer Science,Theory and Applications of Pattern Recognition,532,3.65
Computer Science,Introduction to Computer Engineering,252,3.32
Computer Science,Image Processing,533,3.64
Computer Science,Machine Learning,760,3.79
Computer Science,Mobile and Wireless Networking,707,3.85
Computer Science,Real-time Computing Systems,750,3.68
Computer Science,Digital System Fundamentals,352,3.05
Computer Science,Software Engineering,506,3.5
Computer Science,Human-Computer Interaction,770,3.9
Computer Science,VLSI Systems Design,755,3.74
Computer Science,Advanced Computer Architecture I,752,3.65
Computer Science,Adv Cmpr Sec & Prvcy,782,4.0
Computer Science,Theoretical Foundations of Machine Learning,861,3.93
Computer Science,Mathematical Foundations of Machine Learning,761,3.7
Computer Science,Advanced Computer Architecture II,757,3.77
Computer Science,Introduction to Artificial Neural Network and Fuzzy Systems,539,3.26
Computer Science,Introduction to Optimization,524,3.39
Computer Science,Introduction to Charged Particle Accelerators,561,3.76
Computer Science,High Performance Computing for Applications in Engineering,759,3.97
Computer Science,Computer Animation,777,3.53
Computer Engineering,Graduate Cooperative Education Program,702,N/A
Computer Engineering,Cooperative Education Program,1,3.97
Computer Engineering,Composite Materials,508,3.82
Computer Engineering,Materials for Constructed Facilities,395,3.29
Computer Engineering,Computers in Medicine,463,3.69
Computer Engineering,Turbulent Heat and Momentum Transfer,775,3.86
Computer Engineering,Special Topics in Electrical and Computer Engineering,601,3.86
Computer Engineering,Introduction to Computer Engineering,252,3.32
Computer Engineering,Theory and Applications of Pattern Recognition,532,3.65
Computer Engineering,High Performance Computing for Applications in Engineering,759,3.97
Computer Engineering,Introduction to Computer Architecture,552,3.39
Computer Engineering,Projects in Computers in Medicine,763,4.0
Computer Engineering,Special Topics in Electrical and Computer Engineering,379,3.86
Computer Engineering,Digital Computer Projects in Control and Instrumentation,468,3.8
Computer Engineering,Software Engineering,506,3.5
