Course,Course GPA,Professor,Professor Average GPA
Advanced Computer Networks (740),3.85,PAUL BARFORD,3.76
Advanced Computer Networks (740),3.85,MING LIU,3.92
Advanced Computer Networks (740),3.85,SRINIVASA AKELLA,3.86
Advanced Computer Networks (740),3.85,CRISTIAN ESTAN,4.00
Advanced Linear Programming (526),2.67,MICHAEL FERRIS,4.00
Advanced Linear Programming (526),2.67,XIAOMIN ZHANG,4.00
Advanced Linear Programming (526),2.67,THOMAS RUTHERFORD,1.33
Computer Animation (777),3.53,MICHAEL GLEICHER,3.53
Computer System Performance (737),3.42,MIRON LIVNY,3.42
Computers in Medicine (463),3.69,AMIT NIMUNKAR,3.74
Computers in Medicine (463),3.69,WILLIS TOMPKINS,3.68
Computers in Medicine (463),3.69,BRODY HARSTAD,3.45
Computers in Medicine (463),3.69,JONATHAN BARAN,3.56
Contest-Level Programming (578),3.68,DIETER VAN MELKEBEEK,3.68
Data Programming I - Research (319),3.94,LOUIS OLIPHANT,3.87
Data Programming I - Research (319),3.94,MICHAEL DOESCHER,3.93
Data Programming I - Research (319),3.94,TUNAN WANG,3.94
Data Programming I - Research (319),3.94,KINCANNON WILSON,3.87
Data Programming I - Research (319),3.94,DAVID PARRA,3.87
Data Programming I - Research (319),3.94,YUHENG WU,3.86
Data Programming I - Research (319),3.94,ABHINAV NARAYAN HARISH,3.87
Data Programming I - Research (319),3.94,MUHAMMAD MUSA,4.00
Data Programming I - Research (319),3.94,SATYA SAI SRINATH NAMBURI,4.00
Data Programming I - Research (319),3.94,ABOLI VIJAYANAND PAI,3.92
Data Programming I - Research (319),3.94,FAHAD TOUSEEF,3.86
Data Programming I - Research (319),3.94,SAMUEL GUO,3.86
Data Programming I - Research (319),3.94,YUNFU DENG,3.78
Data Programming I - Research (319),3.94,TAKIS CHYTAS,3.86
Data Programming I - Research (319),3.94,LUKE DOTSON,3.71
Data Programming I - Research (319),3.94,CATHY CAO,3.86
Data Programming I - Research (319),3.94,GURMAIL SINGH,3.97
Data Programming I - Research (319),3.94,SHUTONG WU,4.00
Data Programming I - Research (319),3.94,COLE NELSON,3.96
Data Programming I - Research (319),3.94,ASHWIN MARAN,4.00
Data Programming I - Research (319),3.94,DIVYAM ANSHUMAAN,4.00
Data Programming I - Research (319),3.94,RITHIK JAIN,3.96
Data Programming I - Research (319),3.94,TIMOTHY OSSOWSKI,4.00
Data Programming I - Research (319),3.94,ABINAYAA KANIMOZHI CHANDRASEKAR,4.00
Data Programming I - Research (319),3.94,BRANDON TRAN,4.00
Data Programming I - Research (319),3.94,MUHAMMAD HARIS NOOR,4.00
Data Programming I - Research (319),3.94,JUSTIN KIEFEL,4.00
Data Programming I - Research (319),3.94,IFFAT NAFISA,4.00
Data Programming I - Research (319),3.94,DEEPTI RAJAGOPAL,4.00
Data Programming I - Research (319),3.94,ISHA PADMANABAN,4.00
Data Programming I - Research (319),3.94,ISHAAN KOHLI,4.00
Data Programming I - Research (319),3.94,SHREY SHAH,4.00
Data Programming I - Research (319),3.94,MEENAKSHI SYAMKUMAR,3.96
Data Programming I - Research (319),3.94,ANDREW KUEMMEL,4.00
Data Sci Programming I (220),3.48,LOUIS OLIPHANT,3.33
Data Sci Programming I (220),3.48,MICHAEL DOESCHER,3.39
Data Sci Programming I (220),3.48,TUNAN WANG,3.23
Data Sci Programming I (220),3.48,KINCANNON WILSON,3.23
Data Sci Programming I (220),3.48,DAVID PARRA,3.17
Data Sci Programming I (220),3.48,YUHENG WU,3.17
Data Sci Programming I (220),3.48,ABHINAV NARAYAN HARISH,3.17
Data Sci Programming I (220),3.48,MUHAMMAD MUSA,3.24
Data Sci Programming I (220),3.48,SATYA SAI SRINATH NAMBURI,3.34
Data Sci Programming I (220),3.48,ABOLI VIJAYANAND PAI,3.18
Data Sci Programming I (220),3.48,YUSEN LIU,3.14
Data Sci Programming I (220),3.48,EDWARD HALIM,3.14
