Professor,Professor GPA
JUNXUAN LIAO,3.67
MANU MAHESHWARI,3.56
SWAMIT TANNU,3.53
BOONE SEVERSON,3.56
SETAREH BEHROOZI,3.43
JOSHUA SANMIGUEL,3.48
TANMAY ANAND,3.52
IAN MCDOUGALL,3.53
MATT SINCLAIR,3.52
RUTWIK JAIN,3.43
MOHIL PATEL,3.13
KARTHIKEYAN SANKARALINGAM,3.53
KYLE MAY,3.77
RAMI DAHMAN,3.77
MIKKO LIPASTI,3.52
YU HU,3.11
PARAMESWARAN RAMANATHAN,3.12
ERIC HOFFMAN,3.36
DAVID A. WOOD,3.04
VISHAL KIRTI,3.55
MARK HILL,3.3
DEBRA DEPPELER,3.06
LEO CAO,2.91
JINGYI GAO,3.07
JOHN COOPER,3.03
CHENGPO YAN,3.01
ALBERT GE,3.05
THINH NGUYEN,3.03
YIMING LI,2.99
SHUTONG WU,3.19
JUNE WOODWARD,3.11
JAMES SORENSON,3.29
HINA MAHMOOD,3.11
ARNAV SHARMA,3.1
MICHAEL XU,3.05
EDDIE BARTON,3.08
KHOI NGUYEN,3.04
VOJTECH ASCHENBRENNER,3.11
ALEX SMITH,3.07
GIANNIS IAKOVIDIS,3.5
MARK MANSI,3.37
YUSEN LIU,3.29
SAFI NASSAR,3.17
JOHN SHAWGER,3.15
RAHUL UDAY CHAKWATE,3.14
RANJITHA KOSGI,3.27
NADA ELKORDI,3.27
BENITA KATHLEEN BRITTO,3.06
NAWAF ALSREHIN,3.81
MATTHEW KINGSTON,3.03
NICHOLAS SORENSON,3.28
JOHANNES FREISCHEUTZ,2.99
YIHAN LI,3.13
MICHAEL DOESCHER,3.28
GOVIND GOPAKUMAR,3.02
EHSAN AHMADI,2.85
TINGJIA CAO,3.08
PEYMAN MORTEZA,3.24
NICHOLAS CORRADO,2.98
ASMIT NAYAK,3.0
SAMUEL KOTTLER,3.01
SAMBHAV SATIJA,3.02
ZHUORAN YU,2.97
RANGANATH SELAGAMSETTY,2.97
TEJAS SHAH,3.64
JAMES SKRENTNY,3.15
GIRI PRASANNA MUGUNDA KRISHNAN,3.64
AMMAR MAHMOOD,3.64
LUCIANO RICOTTA,3.64
KEDAR BASTAKOTI,3.67
ZIYANG LIU,3.67
ARTSIOM HOVARAU,3.67
ABBINAYA KALYANARAMAN,3.67
ANDREW KUEMMEL,3.51
KATELYN ZUTTER,3.81
ADALBERT GERALD SOOSAI RAJ,3.56
REMZI ARPACI-DUSSEAU,3.63
GANESH KUMAR VELU RAJENDRAN,3.55
JASON LOWE-POWER,3.12
LEO PRASATH ARULRAJ,2.99
KAREN S. MILLER,3.08
ABTIN AFSHAR SHANDI,3.33
RISHAB GOYAL,3.23
SAIKUMAR YADUGIRI,3.36
MIKHAIL IVANOV,3.26
FENG ZHU,2.74
SOMESH JHA,3.22
JIAQI CHENG,3.28
DAVID ZIKEL,3.35
ROMIT KANKARIA,3.17
RITHIK JAIN,3.26
ERIC BACH,2.99
SHAMGAR GUREVICH,3.44
NILS PALUMBO,3.36
TIANHAO CHAI,3.36
ROCIL MACHADO,3.3
JIHYE CHOI,3.3
NICOLLAS MOCELIN SDROIEVSKI,3.3
EDWARD HANSON,3.3
ROBERT WALKER,3.18
NIGEL BOSTON,2.65
GREGORY SHINAULT,3.58
WOOYEONG JANG,2.95
SUBRAMANYA GAUTAM PRAKRIYA VENKATA,2.95
ANDREI CALDARARU,2.38
DONGNING WANG,3.41
PEDRO MARAVILHA MORGADO,3.78
MOHIT GUPTA,3.93
SHANTANU GUPTA,3.6
VARUN SUNDAR,3.98
MAULIK SHAH,3.9
VIKAS SINGH,3.79
ZHANG LI,3.99
CHARLES DYER,3.67
AZADEH DAVOODI,3.47
EDUARDO ROMERO ARVELO,3.7
GRIGORIS CHRYSOS,3.75
DIMITRIOS PAPAILIOPOULOS,3.83
ROBERT NOWAK,3.66
KANG WOOK LEE,3.66
MATTHEW MALLOY,3.72
BARRY VANVEEN,3.7
RAMYA KORLAKAI VINAYAK,3.75
PO-LING LOH,3.92
REBECCA LU,3.58
LAURENT LESSARD,3.48
WILLIAM SETHARES,3.66
JINGXIN DU,3.2
SREYAS DHULIPALA,3.2
ETHAN KOWALSKI,3.4
SHAYNE WADLE,3.41
NOAH SCOTT,3.2
GRANT WALDOW,3.47
JOHN GUBNER,3.4
BOYUAN ZOU,3.53
ROBERT VIRAMONTES,3.2
JAMES WEDUM,3.42
XIANGPENG HAO,3.42
AKANKSHA CHAUDHARI,3.35
DANIEL MU,3.48
BO-HSUN CHEN,3.43
FANCHAO CHEN,3.65
SADMAN SAKIB,3.47
WILLIAM SUN,3.47
MATTHEW VIENS,3.42
AATMAN BORDA,3.58
TSUNG-WEI HUANG,3.77
ZIYI ZHANG,3.48
ROBERT SCHWIETERMAN,3.44
CAMERON RUGGLES,3.48
SHUBHANKIT RATHORE,3.41
ADAM LABIOSA,3.41
TING CAI,3.38
AJAY SHRIDHAR JOSHI,3.46
AKHIL POLAMARASETTY,3.42
MUHAMMAD ASAD KHAN,3.51
JOSEPH KRACHEY,3.4
WANXIANG ZHONG,3.22
KYLE DARUWALLA,3.0
RAHUL SINGH,3.81
JIE TONG,3.81
ADIL IBRAHIM,3.27
. CODANDA DEVAIAH MONAPPA,3.81
PRAJNA BHAT,3.81
SABHATINA PALANI SELVAM,3.81
AORAN WU,3.79
XIN YU,3.79
ZIQIAN LIN,3.79
LISHENG REN,3.79
KATHERINE MORROW,3.12
RADHAKRISHNAN RAHUL NAYAR,3.37
GURINDAR SOHI,3.21
KAI DA ZHAO,3.17
MICHAEL MORROW,2.98
WILLIAM GALLIHER,3.21
PRADIP VALLATHOL,3.7
ANDREW PHELPS,3.05
JAIKRISHNAN MENON,3.05
PETER OHMANN,3.07
NEWSHA ARDALANI,3.05
KASTURI BIDARKAR,2.85
JIE LIU,2.82
ERIKA GUNADI,3.5
ADITYA SHRINAND GODSE,3.5
CHAO WANG,3.2
ANDREW NERE,3.29
ATIF HASHMI,3.33
SANGHAMITRA ROY,3.45
NATALIE DANA ENRIGHT JERGER,3.35
ERIC LAWRENCE HILL,3.07
BERNIE LESIEUTRE,3.86
JOSEPH KARLS,3.22
JALAL SULAIMAN,3.91
YURUN YUAN,3.96
XUANFEI REN,3.96
TENGYANG XIE,3.96
DANIEL PIMENTEL ALARCON,3.79
BENJAMIN JACOBSEN,3.81
HADI KHADER,3.86
JOSIAH HANNA,3.86
BRIAN HUANG,3.98
KIRTHEVASAN KANDASAMY,3.98
NIKOLAOS ZARIFIS,3.94
ILIAS DIAKONIKOLAS,3.94
CHANGHO SHIN,3.85
HARIT VISHWAKARMA,3.9
FRED SALA,3.9
YINGYU LIANG,3.92
YING FAN,4.0
JERRY ZHU,3.75
MARK CRAVEN,3.68
C DAVID PAGE,3.7
AASHISH THITE,3.45
JUDE SHAVLIK,3.89
FENG YE,4.0
SUMAN BANERJEE,3.85
BHUVANA KRISHNASWAMY,4.0
XINYU ZHANG,2.97
CHIN-YA HUANG,3.73
UMIT OGRAS,3.53
KASSEM FAWAZ,3.61
JING LI,3.38
NAM KIM,3.52
MARTA PRADA,2.58
KYLE J RUPNOW,2.78
SEAPAHN MEGERIAN,2.74
SCOTT SWANSON,3.75
GRAYSON ELIAS,3.84
MYA SCHRODER,3.87
MICHAEL YU,3.87
MARK TERVO,3.71
ABINAYAA KANIMOZHI CHANDRASEKAR,3.71
JUSTIN KIEFEL,3.55
DANIEL SMEDEMA,3.78
SWEKSHA SINHA,3.79
CAT NELSON,3.79
XINCHENG XIE,3.79
KASSIE POVINELLI,3.79
HIMANSHU SAGAR,3.73
ADITYA JAIN,3.56
ROBERT KLOCK,3.56
AKSHAT SINHA,3.87
NITZAN ORR,3.46
CONNOR BAILEY,3.46
OBAIDULLAH ADIL AHMED,3.46
SIYANG CHEN,3.54
TRACY LEWIS-WILLIAMS,3.46
PARUL GUPTA,3.64
. GEETIKA,3.64
BENJAMIN LIBLIT,2.98
BILGE MUTLU,3.9
RU WANG,3.97
YUHANG ZHAO,3.91
TIGER JI,3.81
DAKOTA SULLIVAN,3.9
HANNA STROHM,3.98
MARTINA RAU,4.0
